,Time,Lagoon,Precipitation,Discharge,NDVI,Temperature,PixelPercentage,SOI,ENSO
512,2001-09-30,virgen,7.095833333333331,,-0.0118592456531056,4.184812768674497,75.3525163361229,0.06000000000000001,Neutral
514,2001-11-30,virgen,30.193749999999994,,0.1476404148009955,-4.16533182047694,35.46944858420268,0.12000000000000002,Neutral
515,2001-12-31,virgen,209.8375,,0.0847020546213186,-12.470345976742095,50.79674423936719,0.42000000000000004,Neutral
516,2002-01-31,virgen,82.8291666666667,,0.0628389009349573,0.7620515152701159,98.95678092399405,0.36000000000000004,Neutral
518,2002-03-31,virgen,-81.8125,,-0.0923919261471498,0.0397897369245399,98.15430471168176,0.12000000000000002,Neutral
519,2002-04-30,virgen,-86.61041666666668,,-0.1290515373325223,4.765031808368022,65.40181130345066,-0.09999999999999998,Neutral
521,2002-06-30,virgen,-62.82291666666665,,0.044561983736205,2.478622562843149,99.58729794795369,-0.86,Nino
522,2002-07-31,virgen,46.35208333333334,,0.02162747387256,4.147797027331137,99.57583400206352,-1.04,Nino
523,2002-08-31,virgen,41.37916666666666,,-0.0282647115221197,-3.536203608780444,99.3924108678207,-0.8800000000000001,Nino
525,2002-10-31,virgen,5.595833333333331,,0.0742838140597925,0.4374844695813777,98.44090335893615,-1.1400000000000001,Nino
526,2002-11-30,virgen,7.222916666666663,,0.1013734479764414,-0.5187778200122537,87.16038060300355,-0.8799999999999999,Nino
528,2003-01-31,virgen,4.949999999999996,,0.0070408152587733,-5.222191354519058,99.23191562535824,-0.8800000000000001,Nino
529,2003-02-28,virgen,-60.24166666666667,,-0.0942681621514619,2.866163700309372,99.09434827467616,-0.78,Nino
530,2003-03-31,virgen,-64.1625,,-0.1445946724819587,-0.8094544969751283,98.65871833084948,-0.52,Nino
532,2003-05-31,virgen,-62.404166666666654,,-0.0253509495688862,4.442967430772072,98.95678092399405,-0.34,Neutral
537,2003-10-31,virgen,-57.94166666666665,,0.013045430567641,-4.999529744461761,16.86346440444801,0.26,Neutral
538,2003-11-30,virgen,23.65833333333336,,0.1849042580143487,1.0257685407060748,39.470365699873895,-0.22000000000000003,Neutral
540,2004-01-31,virgen,80.41041666666668,,0.0267976730360164,-4.695244420804663,84.82173564140777,0.36,Neutral
541,2004-02-29,virgen,62.56041666666667,,-0.098995030000197,-1.3027495723271656,59.15396079330506,0.15999999999999998,Neutral
542,2004-03-31,virgen,-83.02916666666667,,-0.1660467872190523,-2.5057455950036243,84.35171385991057,0.13999999999999996,Neutral
543,2004-04-30,virgen,-87.02916666666667,,-0.046025914495567,7.388919298305062,61.8823799151668,0.3,Neutral
544,2004-05-31,virgen,-96.78333333333332,,-0.0316591948851266,5.18663740900341,65.75719362604609,-0.26,Neutral
546,2004-07-31,virgen,66.47916666666666,,0.0876873691860292,2.6334164792838024,51.75971569414193,-0.32,Nino
547,2004-08-31,virgen,-69.13541666666666,,-0.0580684808114798,-0.547140128677043,22.996675455691847,-0.6799999999999999,Nino
549,2004-10-31,virgen,29.91666666666667,,0.1207873201814853,-1.6685458414481005,85.53250028659865,-0.72,Nino
550,2004-11-30,virgen,123.19583333333335,,-0.1016951344076869,-10.204016409710476,51.9546027742749,-0.5,Nino
551,2004-12-31,virgen,131.86875,,0.0932367172416044,4.875097235314112,79.72027972027972,-1.42,Nino
552,2005-01-31,virgen,260.51250000000005,,0.0141725090618849,1.623198903045381,99.08288432878597,-1.3000000000000003,Nino
553,2005-02-28,virgen,-119.77708333333334,,-0.0371602850963678,1.2092333702035063,85.15419007222286,-1.28,Nino
554,2005-03-31,virgen,-118.83125,,-0.1360184400976691,1.8428589557487245,63.9802820130689,-1.28,Nino
555,2005-04-30,virgen,-113.66875,,-0.1651014481138561,-16.805073457573727,10.730253353204173,-1.2600000000000002,Neutral
556,2005-05-31,virgen,-108.34375,,0.0094294602554863,2.1411650538413767,78.13825518743552,-0.16,Neutral
558,2005-07-31,virgen,138.75833333333333,,0.089975563599596,5.15599234015167,64.56494325346785,-0.06000000000000003,Neutral
559,2005-08-31,virgen,26.17083333333335,,0.061054171362512,7.309116708671098,58.37441247277313,0.6,Neutral
560,2005-09-30,virgen,-44.34583333333333,,0.0177861525175986,5.246423110781819,72.07382781153274,0.39999999999999997,Neutral
561,2005-10-31,virgen,17.554166666666674,,-0.0244512136140906,-11.72992117739136,28.728648400779548,0.33999999999999997,Nina
562,2005-11-30,virgen,82.35833333333332,,0.1195255949111452,-0.2478323983786978,62.455577209675575,1.0,Nina
563,2005-12-31,virgen,107.95416666666668,,0.119352449624538,0.2970732988022817,95.55198899461196,0.9200000000000002,Nina
564,2006-01-31,virgen,70.99583333333334,,0.0482072850094086,0.9721018255527484,99.3006993006993,1.1,Nina
565,2006-02-28,virgen,-75.57916666666667,,-0.0679898202201554,-2.3346397547807527,72.87630402384501,1.52,Nina
566,2006-03-31,virgen,-80.40208333333334,,-0.1213489014628173,-0.0377269491379053,54.44227903244296,1.36,Nina
567,2006-04-30,virgen,-86.22916666666667,,-0.1787932939621433,6.7170375712995,54.71741373380718,0.74,Nina
570,2006-07-31,virgen,62.868750000000006,,0.0428659794983923,-6.7462677950777135,15.166800412702052,-0.9799999999999999,Neutral
571,2006-08-31,virgen,19.79791666666668,,0.0700364310781287,7.415791739232276,92.49111544193512,-1.24,Nino
572,2006-09-30,virgen,37.187500000000014,,0.0921833955296481,0.7108084040514413,95.21953456379686,-1.1400000000000001,Nino
573,2006-10-31,virgen,71.03541666666669,,0.0103446906256559,-5.693445585600198,53.10099736329244,-1.04,Nino
574,2006-11-30,virgen,-44.14999999999999,,0.1251721374801112,3.5953016995143017,96.99644617677404,-0.9600000000000002,Nino
575,2006-12-31,virgen,136.48958333333331,,0.0967834461551421,1.1823313232796586,86.19740914822881,-0.78,Nino
576,2007-01-31,virgen,45.34583333333335,,0.0432108916560405,1.8044007082864724,99.46119454316177,-0.30000000000000004,Nino
580,2007-05-31,virgen,-110.20208333333332,,-0.1455464206495568,-5.000961972852277,25.49581565975009,0.059999999999999984,Nina
581,2007-06-30,virgen,-31.82083333333333,,0.0361807254891713,-2.5126249606767037,51.0260231571707,0.13999999999999999,Nina
582,2007-07-31,virgen,105.56458333333332,,0.0866338302541906,5.504041677302478,54.31617562765104,0.24,Nina
583,2007-08-31,virgen,-68.68958333333329,,-0.0570490783380017,3.136596127632064,17.826435859222745,0.5199999999999999,Nina
584,2007-09-30,virgen,3.07916666666668,,0.1507084446768661,5.652704353634896,40.14673850739425,0.6199999999999999,Nina
586,2007-11-30,virgen,109.5166666666667,,0.0464072182344649,-8.854547560781413,79.50246474836639,1.7,Nina
587,2007-12-31,virgen,319.5333333333333,,0.0865734135056767,1.4733775578751889,92.72039435973862,2.5200000000000005,Nina
588,2008-01-31,virgen,-32.137499999999974,,0.0212144620295877,3.019402517986414,69.72371890404678,2.7600000000000002,Nina
589,2008-02-29,virgen,-104.28541666666668,,-0.046746172835744,2.0658136804577616,99.48412243494212,2.7,Nina
590,2008-03-31,virgen,-105.10833333333332,,-0.129859119578676,4.059394093085768,62.088730941189965,2.14,Nina
591,2008-04-30,virgen,-102.99583333333332,,-0.1567410579895,1.4230871003904078,16.39344262295082,1.7600000000000002,Nina
592,2008-05-31,virgen,-100.29166666666666,,-0.0655578190936897,-5.891249568938878,61.2289349994268,0.9800000000000001,Nina
595,2008-08-31,virgen,-16.35208333333331,,0.0113476091875449,0.3382411295722036,10.466582597730138,1.46,Neutral
597,2008-10-31,virgen,148.48749999999998,,0.098943388066215,-1.4662984152198175,55.04986816462226,2.08,Nina
598,2008-11-30,virgen,77.83958333333334,,0.074056966714322,2.3768538114582043,54.72887767969736,2.1,Nina
599,2008-12-31,virgen,26.510416666666657,,0.1137139507189093,0.3087953890567121,63.96881806717872,2.3200000000000003,Nina
600,2009-01-31,virgen,172.78750000000002,,-0.0131808344720781,0.8968592674629221,76.31548779089763,2.04,Nina
